"","name","num_bikes_available","num_ebikes_available","latitude","longitude"
"1","Henry Bacon Dr & Lincoln Memorial Circle NW",15,1,38.890539,-77.049383
"2","10th St & Spring Rd NW",1,1,38.936228,-77.027163
"3","Georgia Ave & Dahlia St NW",3,3,38.976061,-77.026747
"4","M St & Pennsylvania Ave NW",19,1,38.905126,-77.056887
"5","New York Ave & Hecht Ave NE",7,3,38.915604,-76.983683
"6","Hilltop Rd & Willowmere Dr ",3,1,38.876903,-77.241518
"7","10th & G St NW",18,4,38.898243,-77.026235
"8","14th & D St SE",5,1,38.884058,-76.986385
"9","Georgia Ave & Fairmont St NW",1,1,38.924785,-77.022327
"10","4th & East Capitol St NE",5,2,38.889955,-77.000349
"11","Grandview & Blueridge Ave",10,0,39.043272,-77.053085
"12","22nd & H St NW",6,0,38.898925,-77.048852
"13","3000 Connecticut Ave NW / National Zoo",1,0,38.930282,-77.055599
"14","N Pershing Dr & N Quebec St",4,0,38.874248,-77.104784
"15","18th & Upshur St NE",15,0,38.941733,-76.980378
"16","Westbranch Dr & Maitland St",1,0,38.927943,-77.220829
"17","19th St & Wyoming Ave NW",4,2,38.918777,-77.044415
"18","Wilson Blvd & N Quincy St",3,0,38.880012,-77.107854
"19","Prince St & Union St",12,6,38.803124,-77.040363
"20","Oklahoma Ave & Benning Rd NE",17,2,38.8975,-76.969509
"21","Amherst Ave & Elkins St",10,0,39.044887,-77.047788
"22","Eden Center",4,0,38.873808,-77.152849
"23","Madison St & Fairfax St",9,0,38.812351,-77.040691
"24","South Lakes Dr and Reston Pkwy",8,0,38.94335,-77.362304
"25","15th & K St NW",9,2,38.902,-77.03353
"26","Langston Blvd & N Woodstock St",2,2,38.898301,-77.118009
"27","White Oak Rec Center",3,0,39.046144,-76.975723
"28","55th & East Capitol St NE",3,0,38.889926,-76.922783
"29","17th & G St NW",21,2,38.898301,-77.039643
"30","Tyco Rd & Boyd Pointe Way",12,0,38.930767,-77.241436
"31","Veterans Pl & Pershing Dr ",5,3,38.997445,-77.023894
"32","Sunrise Valley Dr & Roland Clarke Pl",6,0,38.949366,-77.350396
"33","Arizona Ave & MacArthur Blvd NW",10,2,38.927294,-77.103662
"34","School St & George Mason Blvd",3,0,38.837382,-77.30938
"35","Temporary Rd & Old Reston Ave",7,0,38.960084,-77.353414
"36","South Dakota Ave & Bladensburg Rd NE",9,1,38.9252,-76.964896
"37","Potomac Yard Metro South",7,2,38.833437,-77.047846
"38","King St & Kenwood Ave",1,0,38.824793,-77.085066
"39","Madison St & N Henry St",5,0,38.813485,-77.049468
"40","Park Pl & Rock Creek Church Rd NW",9,2,38.937135,-77.019125
"41","19th & Savannah St SE",6,0,38.84623,-76.97703
"42","Mount Vernon Ave & Kennedy St",11,0,38.833077,-77.059821
"43","King St & Patrick St",13,6,38.805317,-77.049883
"44","25th St & Pennsylvania Ave NW",14,0,38.903827,-77.053485
"45","Chillum Rd & Riggs Rd / Riggs Plaza",0,0,38.961737,-76.995922
"46","Fairfax Dr & N Randolph St",4,0,38.882629,-77.109366
"47","Duke St & Jordan St",10,0,38.812187,-77.10994
"48","19th & E Street NW",8,0,38.895734,-77.043368
"49","16th & Q St SE / Anacostia HS",6,1,38.870695,-76.982359
"50","3rd St & Pennsylvania Ave SE",11,1,38.887378,-77.001955
"51","3rd & H St NE",13,2,38.900412,-77.001949
"52","15th & F St NE",11,1,38.897195,-76.983575
"53","Oglethorpe St & 42nd Ave",5,0,38.959361,-76.946361
"54","E Fairfax St & S Washington St",7,1,38.880612,-77.171891
"55","Langston Blvd & N Adams St",7,1,38.89593,-77.089006
"56","New Jersey Ave & K St NW",3,0,38.902571,-77.013667
"57","John McCormack Rd NE",3,0,38.938889,-76.997226
"58","Reed & Edison",5,0,38.83728,-77.060899
"59","1st & Washington Hospital Center NW",0,0,38.928743,-77.012457
"60","Nannie Helen Burroughs & Minnesota Ave NE",4,0,38.901385,-76.941877
"61","Merrilee Dr & Lauren Elizabeth Lane",6,0,38.878572,-77.230766
"62","D St & Maryland Ave NE",2,2,38.894841,-76.995916
"63","Joliet St & MLK Ave SW/Bald Eagle Rec Ctr",2,2,38.81909,-77.01033
"64","New Hampshire Ave & 24th St NW",8,0,38.901755,-77.051084
"65","39th St & Tunlaw Rd NW",2,0,38.9257,-77.079119
"66","N Lynn St & Fairfax Dr",10,0,38.89386,-77.070862
"67","Emma Lee St & Morris St",5,2,38.877818,-77.209421
"68","5th St & Massachusetts Ave NW",13,5,38.90093,-77.018677
"69","1301 McCormick Dr / Wayne K. Curry Admin Bldg",4,0,38.908391,-76.843263
"70","Walker Mill Road/ Walker Mill Regional Park ",5,0,38.875772,-76.868767
"71","Golf Course Sq and Golf Course Dr",3,0,38.944013,-77.353552
"72","Wheaton Metro / Georgia Ave & Reedie Dr",1,0,39.038424,-77.05102
"73","17th St & Massachusetts Ave NW",6,2,38.908568,-77.038542
"74","Bethesda Metro / Wisconsin Ave & Old Georgetown Rd",7,2,38.984691,-77.094537
"75","Central Library / Quincy St & 10th St N",4,1,38.88397,-77.10783
"76","37th & Ely Pl SE",1,0,38.883132,-76.950009
"77","S Randolph St & Campbell Ave",13,3,38.840654,-77.088659
"78","Vaden Dr & Royal Victoria Dr/Jim Scott Cmty Ctr",0,0,38.873261,-77.272999
"79","Fenton St & Gist Ave",7,2,38.989724,-77.023854
"80","North Village and Park Garden",9,0,38.983199,-77.341823
"81","Columbia Rd & Georgia Ave NW",3,2,38.928121,-77.023795
"82","61st St & Banks Pl NE",0,0,38.891805,-76.913563
"83","1st & H St NW",9,1,38.900358,-77.012108
"84","Connecticut Ave & McKinley St NW",16,4,38.964544,-77.075135
"85","Roosevelt Center & Crescent Rd",5,0,39.00031,-76.878005
"86","Langston Blvd & N Kirkwood Rd",13,1,38.895377,-77.09713
"87","WAU / Flower Ave & Division St",4,1,38.986743,-77.000035
"88","Kingman Island/The Fields at RFK",13,1,38.895955,-76.967845
"89","Soapstone Dr Convenience Center",5,0,38.93051,-77.345874
"90","47th & Elm St",5,0,38.982456,-77.091991
"91","10th St & L'Enfant Plaza SW",4,1,38.884323,-77.02601
"92","Virginia Square Metro / Monroe St & 9th St N",11,2,38.882788,-77.103148
"93","Smithsonian-National Mall / Jefferson Dr & 12th St SW",23,0,38.888774,-77.028694
"94","Rhode Island Ave Metro",3,0,38.920682,-76.995876
"95","16th & R St NW",14,4,38.912652,-77.036278
"96","8th & H St NE",10,3,38.899942,-76.994897
"97","7th & F St NW / National Portrait Gallery",28,1,38.897283,-77.022191
"98","Fenton St & New York Ave ",3,0,38.985404,-77.023082
"99","Garland Ave & Walden Rd",12,2,39.00048,-77.00077
"100","Lincoln Memorial",14,6,38.888255,-77.049437
"101","Gallaudet / 8th St & Florida Ave NE",8,0,38.90509,-76.9941
"102","31st St & S Woodrow St",0,0,38.837846,-77.093478
"103","Braddock Rd Metro North",6,0,38.814577,-77.052808
"104","Marymount University / Yorktown Blvd & 26th St N",1,1,38.904252,-77.127776
"105","Offutt Ln & Chevy Chase Dr",2,2,38.977093,-77.094589
"106","1st & Q St SW",5,1,38.870824,-77.011915
"107","Crescent Rd & Ridge Rd",3,0,39.006191,-76.891247
"108","12th & L St NW",2,0,38.903819,-77.0284
"109","Kansas Ave & Tuckerman St NW / Lamond Rec ",8,0,38.967492,-77.007003
"110","New Dominion Pkwy & Fountain Dr",6,0,38.960574,-77.356324
"111","Livingston Rd & 3rd St SE",5,0,38.82373,-77.00223
"112","Columbia Pike & S Highland St",0,0,38.862398,-77.089133
"113","Reservoir Rd & 38th St NW",0,0,38.912614,-77.074323
"114","Route 29 & Bisvey Dr",4,1,38.876912,-77.195847
"115","Market St & St Francis St",8,0,38.95866,-77.361516
"116","St Asaph & Pendleton St",9,1,38.810741,-77.044633
"117","Frederick Ave & Horners Ln",3,0,39.094772,-77.145213
"118","2nd St & Massachusetts Ave NE",8,1,38.894972,-77.003135
"119","Commonwealth and Reed",14,4,38.836838,-77.057274
"120","Vantage Hill Rd & Wainwright Dr",1,0,38.9667,-77.348487
"121","Montello Ave & Holbrook Terr NE",6,2,38.907444,-76.986813
"122","8th & D St NW",10,1,38.894851,-77.02324
"123","Connecticut Ave & R St NW",12,8,38.912644,-77.04564
"124","East Falls Church Metro / Sycamore St & 19th St N",13,0,38.885321,-77.156427
"125","Georgia & Missouri Ave NW",3,2,38.961339,-77.027855
"126","S Washington St & Wilkes St",11,1,38.800703,-77.048043
"127","The Mall at Prince Georges",9,1,38.968842,-76.954171
"128","Silver Spring Transit Center - Top Level",7,2,38.994035,-77.030371
"129","Blenheim Blvd & North St",9,0,38.846972,-77.303349
"130","North Shore & Cameron Crescent Dr/Crescent Apartments",1,0,38.970046,-77.338686
"131","North Capitol St & G Pl NE",17,0,38.899703,-77.008911
"132","Monroe St & Monroe Pl",5,0,39.083673,-77.149162
"133","Reston Town Center Metro North",3,1,38.953691,-77.359717
"134","Waterfront Park",16,0,38.874821,-77.020788
"135","S Arlington Mill Dr & Campbell Ave",14,0,38.84232,-77.089555
"136","Mount Vernon Ave & Four Mile Run Park",14,1,38.843422,-77.064016
"137","Broad Branch Rd & Northampton St NW",16,1,38.965775,-77.068626
"138","New Hampshire & Kirklynn Ave",7,1,38.988101,-76.988422
"139","Commerce St & Fayette St",5,1,38.805648,-77.05293
"140","19th St N & Ft Myer Dr",12,0,38.897218,-77.072143
"141","Lincoln Park / 13th & East Capitol St NE ",13,3,38.890461,-76.988355
"142","Van Dorn Metro",2,1,38.800077,-77.129943
"143","Pentagon City Metro / 12th St & S Hayes St",3,0,38.862303,-77.059936
"144","14th & Upshur St NW",1,1,38.942475,-77.032678
"145","Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center",3,2,38.915,-77.0078
"146","12th & U St NW",11,1,38.916787,-77.028139
"147","4th & Florida Ave NE",7,1,38.907316,-77.000698
"148","Yuma St & Tenley Circle NW",0,0,38.946182,-77.08059
"149","Clarendon Blvd & Pierce St",2,0,38.893438,-77.076389
"150","2nd & G St NE",19,1,38.89967,-77.003666
"151","Dorr Ave & Prosperity Ave",4,0,38.879256,-77.233583
"152","Columbia Rd & Belmont St NW",4,4,38.920669,-77.04368
"153","McLean Metro",10,1,38.924002,-77.208127
"154","Anacostia Ave & Benning Rd NE / River Terrace ",5,0,38.896544,-76.96012
"155","3rd & G St SE",8,2,38.881185,-77.001828
"156","Route 29 & Circle Woods Dr",4,0,38.869114,-77.271538
"157","Columbia Pike & S Orme St",4,2,38.867262,-77.072315
"158","7th & R St NW / Shaw Library",1,0,38.912719,-77.022155
"159","Mt Vernon Trail & S. Washington St.",10,3,38.793065,-77.049436
"160","14th & Otis Pl NW",10,6,38.934405,-77.032687
"161","7th & Monroe St NE",3,2,38.932243,-76.996133
"162","N Shore Dr & Bandit Loop",10,0,38.95937,-77.331794
"163","Army Navy Dr & Fern St",10,2,38.864838,-77.056873
"164","1st & D St SE",0,0,38.884916,-77.005965
"165","Shady Grove Metro West",1,0,39.119765,-77.166093
"166","Reston Town Center Metro South",1,0,38.9523,-77.361466
"167","Becontree Ln & Goldenrain Ct",4,0,38.966848,-77.329282
"168","W&OD Trail/Sunset Hills Rd & Isaac Newton Sq",10,0,38.951419,-77.340281
"169","Washington & Independence Ave SW/HHS",20,0,38.886978,-77.013769
"170","5th & Kennedy St NW",2,2,38.956556,-77.019814
"171","Calvert & Biltmore St NW",2,2,38.923203,-77.047637
"172","S Maple Ave & S Washington St",7,2,38.87972,-77.178408
"173","Franconia-Springfield Metro North",2,0,38.766946,-77.168902
"174","N Shore Dr & Wainwright Dr",6,0,38.963782,-77.349764
"175","15th & Euclid St NW",10,10,38.92333,-77.0352
"176","Wilson Blvd & N Oak St",7,0,38.895068,-77.07386
"177","N Howard St & Taney Ave",2,1,38.815842,-77.110014
"178","Constitution Ave & 2nd St NW/DOL",12,0,38.892275,-77.013917
"179","53rd & D St SE/C.W. Harris Elementary",4,1,38.883318,-76.925315
"180","16th St & North Carolina Ave NE",3,1,38.893062,-76.982464
"181","N Hampton Dr & Ford Ave",5,1,38.837306,-77.106111
"182","17th St & Independence Ave SW",8,1,38.888097,-77.038325
"183","Columbus Circle / Union Station",45,0,38.89696,-77.00493
"184","Spring Hill Metro",4,0,38.929261,-77.240654
"185","Prince George's Plaza Metro",1,1,38.965742,-76.954803
